cumulative_count,event,latency_ms,phase,success,trigger
,planner_completed,367.508,target_found,True,target_found
,phase_abort_observed,,at_grasp,,
,planner_completed,86.52,at_grasp,True,trajectory_aborted
,phase_abort_observed,,at_grasp,,
,planner_completed,95.583,at_grasp,True,trajectory_aborted
,phase_abort_observed,,at_grasp,,
,planner_completed,768.542,at_grasp,True,trajectory_aborted
,trajectory_started,,moving_to_pregrasp,,
,trajectory_started,,moving_to_grasp,,
,trajectory_started,,moving_to_grasp,,
,trajectory_aborted,,moving_to_grasp,,
,trajectory_started,,moving_to_grasp,,
,trajectory_aborted,,moving_to_grasp,,
,trajectory_started,,moving_to_grasp,,
,trajectory_aborted,,moving_to_grasp,,
,trajectory_started,,moving_to_grasp,,
1,trajectory_cancel_requested,,pull_to_detach,,
1,trajectory_replaced,,pull_to_detach,,
,trajectory_started,,pull_to_detach,,
2,trajectory_cancel_requested,,moving_to_place,,
2,trajectory_replaced,,moving_to_place,,
,trajectory_started,,moving_to_place,,
3,trajectory_cancel_requested,,moving_to_place,,
3,trajectory_replaced,,moving_to_place,,
,trajectory_started,,moving_to_place,,
